Hydra,ヒドラ,1,PROPER_NOUN
config,コンフィグ,1,PROPER_NOUN
toml,トムル,1,PROPER_NOUN
Facebook,フェイスブック,1,PROPER_NOUN
Python,パイソン,1,PROPER_NOUN
Absale,アブセイル,1,PROPER_NOUN
Whisper,ウィスパー,
ZenCaster,ゼンキャスター,
Podcast,ポッドキャスト
次,ツギ,
Azure,アジュール,
Natural,ナチュラル,
Language,ランゲージ,
Understanding,アンダースタンディング,
Generation,ジェネレーション,
Hugo,ヒューゴ,
Git,ギット,
他,ホカ,
Github,ギットハブ,
makefile,メイクファイル,
readme,リードミー,
conf,コンフ,
notebooks,ノートブックス,
reports,リポート,
LangChain,ラングチェイン
AutoGPT,オートジーピーティー
Template,テンプレート
Bird,バード
Models,モデルズ
Turbo,ターボ
風に,フウニ
空の配列,カラノ
空,カラ
MassivelyMultilingualSpeech,マッシブリーマルチリンガルスピーチ
WAVE2VEC2,ウェーブツーベックツー
M1Mac,エムワンマック
M1MacAir,エムワンマックエアー
M1,エムワン
UltraWideQHD,ウルトラワイドキューエイチディー
DELL,デル
BENQ,ベンキュー
ACER,エイサー
GIGABYTE,ギガバイト
HUAWEI,ファーウェイ,
ARM,アーム
Cortex,コーテックス
MacOS,マックオーエス
RUA,ルア
Unity,ユニティ
ChatGPT,チャットジーピーテー
過去問,カコモン
OpenAI,オープンエーアイ
微調整,ビチョウセイ
CodeInterpreter,コードインタープリター
Titanic,タイタニック
Twitter,ツイッター
陽キャ,ヨウキャ
Readable,リーダブル
LargeLanguageModel,ラージランゲージモデル
流行って,ハヤッテ
MetasResearchSupercluster,メタズリサーチスーパークラスター
NVIDIA,エヌビディア
Pip,ピップ
Flask,フラスク
MyPy,マイパイ
UnitTest,ユニットテスト
Docker,ドッカー
Black,ブラック
isort,アイソート
Poetry,ポエトリー
PyProject.yml,パイプロジェクトドットヤムル
requirements.txt,リクワイアメンツドットテキスト
setup.py,セットアップドットパイ
tox,トックス
PyTorch,パイトーチ
RUFF,ラフ
Rust,ラスト
FastAPI,ファストエーピーアイ
Rye,ライ
PoetThePoet,ポエザポエット
UNEXT,ユーネクスト
Flake8,フレークエイト
UnrealEngine,アンリアルエンジン
Pygame,パイゲーム
